Gene name	Human gene name
Ckap2	CKAP2
Epb41l5	EPB41L5
Dbx2	DBX2
Tom1l2	TOM1L2
Tmprss15	TMPRSS15
Gm25899	RNU4-58P
Uba3	UBA3
Ubr5	UBR5
Nxph4	NXPH4
Mas1	MAS1
Vps36	VPS36
Man2c1	MAN2C1
Phyhipl	PHYHIPL
Tmem216	TMEM216
Urm1	URM1
Tmem50a	TMEM50A
Tmem41b	TMEM41B
Thsd1	THSD1
Pnldc1	PNLDC1
Rsrp1	RSRP1
Tmem138	TMEM138
Znrf1	ZNRF1
Cbfa2t2	CBFA2T2
Slc35f1	SLC35F1
Fars2	FARS2
Cyb561a3	CYB561A3
Gm24486	RNU6-6P
Cep85l	CEP85L
Irs4	IRS4
Syf2	SYF2
Vbp1	VBP1
Plekho1	PLEKHO1
Runx3	RUNX3
Pln	PLN
Mrpl18	MRPL18
Ncam2	NCAM2
Arl6ip5	ARL6IP5
Lrp1	LRP1
Slc30a6	SLC30A6
Ark2c	ARK2C
Fgf6	FGF6
Serpina10	SERPINA10
Lysmd3	LYSMD3
Clic4	CLIC4
Lmod3	LMOD3
Fgf23	FGF23
Gm55765	RNU6-684P
Rtn2	RTN2
Rab39b	RAB39B
Tigar	TIGAR
Bnc2	BNC2
Serpina6	SERPINA6
Rbbp7	RBBP7
Epg5	EPG5
Tkfc	TKFC
Skap2	SKAP2
Serpina1f	SERPINA2
Mir302c	MIR302C
Mir302d	MIR302D
Vps45	VPS45
Cyyr1	CYYR1
Ldhd	LDHD
Nrn1	NRN1
Aen	AEN
Adamts1	ADAMTS1
Otud7b	OTUD7B
Siglec15	SIGLEC15
Slc14a1	SLC14A1
Zfp1	ZFP1
Klhl23	KLHL23
Mblac2	MBLAC2
Ccnd2	CCND2
Adamts5	ADAMTS5
Akr1e1	AKR1E2
Ipo7	IPO7
Bcar1	BCAR1
Cntln	CNTLN
Grik1	GRIK1
Capn3	CAPN3
Gucy2f	GUCY2F
Ipo8	IPO8
Nrcam	NRCAM
Ddb1	DDB1
Scn3b	SCN3B
Snora23	SNORA23
Coro6	CORO6
Fosb	FOSB
Cetn3	CETN3
Stat6	STAT6
Nlrc4	NLRC4
Slc14a2	SLC14A2
Txlng	TXLNG
Plch2	PLCH2
Cnot3	CNOT3
Ly86	LY86
Odf1	ODF1
Yipf4	YIPF4
Klf10	KLF10
Klf6	KLF6
Bicc1	BICC1
Parp11	PARP11
Tcp1	TCP1
Maml2	MAML2
Pitrm1	PITRM1
Sde2	SDE2
Ano6	ANO6
Vwce	VWCE
Leng1	LENG1
Neil1	NEIL1
Usp12	USP12
Slc25a15	SLC25A15
Isg20	ISG20
Neurog2	NEUROG2
Mrps31	MRPS31
D3Ertd751e	C4orf33
Cracr2a	CRACR2A
Vps37c	VPS37C
Pdgfra	PDGFRA
Gm23895	RNU1-23P
Smim19	SMIM19
Commd4	COMMD4
Setbp1	SETBP1
Ankrd13b	ANKRD13B
Fbxl19	FBXL19
Slc20a2	SLC20A2
Arhgap12	ARHGAP12
Cldn17	CLDN17
Cldn8	CLDN8
Krtap24-1	KRTAP24-1
Cd5	CD5
Krtap26-1	KRTAP26-1
Krtap27-1	KRTAP27-1
Prmt8	PRMT8
Syap1	SYAP1
Eya1	EYA1
Clcn3	CLCN3
Krtap15-1	KRTAP15-1
Tspan11	TSPAN11
Tlx1	TLX1
Lbx1	LBX1
Arid2	ARID2
Rbm6	RBM6
Cd6	CD6
Gm26130	SNORA29
Snora20	SNORA20
Slitrk4	SLITRK4
Frmd4b	FRMD4B
Nlrc3	NLRC3
Mcm9	MCM9
Gm26111	RNU6-809P
Nprl3	NPRL3
Slitrk2	SLITRK2
Gm23000	RNU1-22P
Orai3	ORAI3
Scaf11	SCAF11
Acan	ACAN
Ercc1	ERCC1
Slc38a1	SLC38A1
Prrg1	PRRG1
Nab2	NAB2
Pde4d	PDE4D
Mtmr11	MTMR11
Slx4	SLX4
Gm55085	SNORA25B
Mtmr2	MTMR2
Slc15a3	SLC15A3
Hba-x	HBZ
Wtap	WTAP
Stxbp6	STXBP6
Slc38a2	SLC38A2
Polr1g	POLR1G
Asf1a	ASF1A
Tmem132a	TMEM132A
Hapln3	HAPLN3
Ctps2	CTPS2
Nemp1	NEMP1
Dcaf13	DCAF13
Git1	GIT1
Tmem109	TMEM109
Dnase1	DNASE1
Ppp1r13l	PPP1R13L
Nova1	NOVA1
Sf3b4	SF3B4
Slc38a4	SLC38A4
Btrc	BTRC
Alpk1	ALPK1
Foxg1	FOXG1
Caprin2	CAPRIN2
Tmc4	TMC4
Prkd1	PRKD1
Fam184a	FAM184A
Mon1a	MON1A
Gm54971	RNU6-1220P
Trp53i13	TP53I13
Sv2a	SV2A
Syne2	SYNE2
Amigo2	AMIGO2
1700017B05Rik	C15orf39
Pced1b	PCED1B
Sod2	SOD2
Trap1	TRAP1
Pycr2	PYCR2
Abhd15	ABHD15
Bola1	BOLA1
Rpap3	RPAP3
Gm24502	RNU6-246P
Mfsd10	MFSD10
Ppcdc	PPCDC
Sh3pxd2b	SH3PXD2B
Tifa	TIFA
Gpr31b	GPR31
Endou	ENDOU
Msc	MSC
H2ac21	H2AC21
H2ac20	H2AC20
Pex10	PEX10
H2bc21	H2BC11
Myo1a	MYO1A
Zfp143	ZNF143
H2ac19	H2AC19
Ap1ar	AP1AR
Rer1	RER1
Ptpn4	PTPN4
Dkk4	DKK4
Gm25852	SNORA63E
Gm23510	RNU1-30P
Nfatc1	NFATC1
Hibadh	HIBADH
Polb	POLB
Poll	POLL
Rims2	RIMS2
Ubtd2	UBTD2
Crebbp	CREBBP
Fam241a	FAM241A
Efcab9	EFCAB9
Dpcd	DPCD
Morn1	MORN1
Tax1bp1	TAX1BP1
Pcdh10	PCDH10
Stk10	STK10
Tfam	TFAM
Prpf19	PRPF19
Scamp5	SCAMP5
Taok1	TAOK1
Cntnap4	CNTNAP4
Jazf1	JAZF1
Gm25796	RNU1-70P
Gm23337	RNU6-1267P
Pabpc4l	PABPC4L
Rpp25	RPP25
Tspan9	TSPAN9
Srrm1	SRRM1
Cox5a	COX5A
Gramd1b	GRAMD1B
Mtif3	MTIF3
Gm23511	RNU1-19P
H3c13	H3C14
Tmem177	TMEM177
H2bc18	H2BC18
Mon1b	MON1B
Trpa1	TRPA1
Birc6	BIRC6
Pitx2	PITX2
Syce1l	SYCE1L
Tac2	TAC3
Nufip2	NUFIP2
Lnx2	LNX2
Zbtb39	ZBTB39
Qrich2	QRICH2
Gpr182	GPR182
Wee1	WEE1
Ube2d1	UBE2D1
Nop14	NOP14
Creb5	CREB5
Zp1	ZP1
Swap70	SWAP70
Adcy9	ADCY9
Mageb16	MAGEB16
Tmem63a	TMEM63A
Pcdh18	PCDH18
Cryba1	CRYBA1
Cisd1	CISD1
Mboat7	MBOAT7
Tmem164	TMEM164
Adamts18	ADAMTS18
Fbxw11	FBXW11
Fbxw4	FBXW4
Polr1d	POLR1D
Mir582	MIR582
Rab3c	RAB3C
Man1a	MAN1A1
Slc7a11	SLC7A11
Clcn2	CLCN2
Gsx1	GSX1
Dcstamp	DCSTAMP
Pdx1	PDX1
Cdx2	CDX2
Rreb1	RREB1
Mfge8	MFGE8
Grk4	GRK4
Ptgdr2	PTGDR2
Tead4	TEAD4
Fgf8	FGF8
Atp9b	ATP9B
Dpys	DPYS
Ikbkb	IKBKB
Smim23	SMIM23
Cfap221	CFAP221
Mir652	MIR652
Enpep	ENPEP
S100g	S100G
Fgf18	FGF18
Flt3	FLT3
Lrp12	LRP12
Ranbp17	RANBP17
Ski	SKI
Grpr	GRPR
Tmem47	TMEM47
Sctr	SCTR
Faap20	FAAP20
Sdr9c7	SDR9C7
Zfpm2	ZFPM2
Kit	KIT
Tril	TRIL
Ipmk	IPMK
Tulp3	TULP3
Ap1s2	AP1S2
Rapgef3	RAPGEF3
Ephx1	EPHX1
Npm3	NPM3
Ncmap	NCMAP
Oga	OGA
Elovl6	ELOVL6
Hsd3b7	HSD3B7
Amn1	AMN1
Fam219b	FAM219B
Egf	EGF
Tmem37	TMEM37
Srl	SRL
Gabrp	GABRP
Hsd17b6	HSD17B6
Nvl	NVL
Rhno1	RHNO1
Cep57	CEP57
Adamtsl1	ADAMTSL1
Ube2o	UBE2O
Necab3	NECAB3
Polr2h	POLR2H
Tet3	TET3
Tbc1d32	TBC1D32
Car5b	CA5B
Tfap4	TFAP4
Cnih4	CNIH4
Mitf	MITF
Gapt	GAPT
Abhd2	ABHD2
Aanat	AANAT
Plk2	PLK2
Gls	GLS
Glis2	GLIS2
Cltrn	CLTRN
Plat	PLAT
Kcnip2	KCNIP2
Kcnip1	KCNIP1
Msl3l2	MSL3B
Suv39h1	SUV39H1
Gja1	GJA1
Ssb	SSB
Stx1b	STX1B
Thpo	THPO
Nek1	NEK1
Sall3	SALL3
Itga10	ITGA10
Ssr1	SSR1
Zwint	ZWINT
Tsen34	TSEN34
Galr1	GALR1
Gak	GAK
Mbp	MBP
Myo15a	MYO15A
Coro7	CORO7
Actbl2	ACTBL2
G2e3	G2E3
Was	WAS
Cage1	CAGE1
Rcan3	RCAN3
Naca	NACA
Ankrd35	ANKRD35
Gm25811	RNU6-26P
1700003F12Rik	C20orf144
Dmd	DMD
Riok1	RIOK1
Actl10	ACTL10
Prkcq	PRKCQ
Rraga	RRAGA
Hsf2	HSF2
Stx4a	STX4
Prkcz	PRKCZ
Pias3	PIAS3
Mpi	MPI
Gsc	GSC
Esr2	ESR2
Rps9	RPS9
Ptges3	PTGES3
Scamp2	SCAMP2
Mettl5	METTL5
Gpbp1	GPBP1
Vasn	VASN
Chrd	CHRD
Cpvl	CPVL
Fam76b	FAM76B
E2f1	E2F1
Serinc1	SERINC1
Zfp668	ZNF668
Haus6	HAUS6
Zfp646	ZNF646
Prss53	PRSS53
Pxmp4	PXMP4
Atp5f1b	ATP5F1B
Zfp106	ZNF106
Mdfic2	MDFIC2
Foxm1	FOXM1
Ulk3	ULK3
Snord59a	SNORD59A
Pkib	PKIB
Nipal3	NIPAL3
Sbf2	SBF2
Htt	HTT
Nab1	NAB1
Lman2	LMAN2
Resf1	RESF1
Tab3	TAB3
Cplx3	CPLX3
Dsp	DSP
Armh3	ARMH3
Scfd1	SCFD1
Vat1l	VAT1L
En1	EN1
Slc48a1	SLC48A1
Nemp2	NEMP2
Wdr13	WDR13
Oxr1	OXR1
Myo3b	MYO3B
Clec3a	CLEC3A
Lman1l	LMAN1L
Ap3m2	AP3M2
Naa15	NAA15
Tex52	TEX52
Stpg1	STPG1
Dnaja3	DNAJA3
Pfkp	PFKP
Hps6	HPS6
Dguok	DGUOK
Plin2	PLIN2
Minar1	MINAR1
Sh3rf1	SH3RF1
Gm25104	RNU4-23P
Wdr26	WDR26
Or4d6	OR4D6
Tmed3	TMED3
Or5a1	OR5A1
Ankrd34c	ANKRD34C
Smoc2	SMOC2
Rasgrf1	RASGRF1
Glyat	GLYAT
Fabp7	FABP7
Mthfd1	MTHFD1
Smpdl3a	SMPDL3A
Itch	ITCH
Grhl3	GRHL3
St7	ST7
Cbr4	CBR4
Ace2	ACE2
Nudt17	NUDT17
Gm25143	RNU6-867P
Wwox	WWOX
Ifnlr1	IFNLR1
Gm25587	RNU1-16P
Tmtc2	TMTC2
Il22ra1	IL22RA1
Ttc27	TTC27
Kdr	KDR
Myom3	MYOM3
Cntf	CNTF
Col25a1	COL25A1
Vkorc1	VKORC1
Zfp91	ZFP91
Ephb3	EPHB3
Gcc2	GCC2
Csk	CSK
Akap5	AKAP5
Lpxn	LPXN
Maf	MAF
Zbtb25	ZBTB25
Dennd4c	DENND4C
Dynlrb2	DYNLRB2
Cdyl2	CDYL2
Or5b21	OR5B21
Zfp236	ZNF236
Insig2	INSIG2
Zbtb1	ZBTB1
Cmc2	CMC2
Hspa2	HSPA2
Mgst2	MGST2
Ppp1r36	PPP1R36
Kat6a	KAT6A
Msantd1	MSANTD1
Rlbp1	RLBP1
Nmral1	NMRAL1
Clmn	CLMN
Maml3	MAML3
Srd5a3	SRD5A3
Dynlrb1	DYNLRB1
Mfsd6	MFSD6
Polr3c	POLR3C
Map1lc3a	MAP1LC3A
Hmox2	HMOX2
Dusp1	DUSP1
Pigu	PIGU
Tmem175	TMEM175
Mmachc	MMACHC
Bmx	BMX
Rhbdf2	RHBDF2
Rps6	RPS6
Zfp516	ZNF516
Cnih3	CNIH3
Acer2	ACER2
Ctsh	CTSH
Zfp407	ZNF407
Or9q2	OR9Q2
Cdip1	CDIP1
Baz2a	BAZ2A
Or9q1	OR9Q1
Trp53inp2	TP53INP2
Cndp1	CNDP1
Cenpn	CENPN
Bmp6	BMP6
Mamld1	MAMLD1
Inpp1	INPP1
Etnppl	ETNPPL
Tmem165	TMEM165
Or14j1	OR14J1
Psat1	PSAT1
Alkbh5	ALKBH5
Tlk1	TLK1
Adarb2	ADARB2
Adm	ADM
Ergic1	ERGIC1
Cndp2	CNDP2
Cygb	CYGB
Hibch	HIBCH
4930562C15Rik	C16orf96
Pir	PIR
Snord1a	SNORD1A
St6galnac2	ST6GALNAC2
Palld	PALLD
Sytl2	SYTL2
Morf4l1	MORF4L1
Ubald1	UBALD1
St6galnac1	ST6GALNAC1
Srsf10	SRSF10
Mgrn1	MGRN1
Ankrd55	ANKRD55
Ccdc93	CCDC93
Cep78	CEP78
Vegfd	VEGFD
Ostc	OSTC
Llgl1	LLGL1
Dipk1c	DIPK1C
Pak3	PAK3
Foxo1	FOXO1
Rnf115	RNF115
Syne3	SYNE3
Gm17266	C18orf63
Cyb5a	CYB5A
Ncoa6	NCOA6
Gna14	GNA14
Cd160	CD160
Prune2	PRUNE2
Atp6v0e	ATP6V0E1
Fbxo15	FBXO15
Rpl34	RPL34
Txndc5	TXNDC5
Timm21	TIMM21
Tecta	TECTA
Crebrf	CREBRF
Slc24a2	SLC24A2
1700019D03Rik	C2orf88
Abra	ABRA
Pdzk1	PDZK1
Glrx5	GLRX5
Angpt1	ANGPT1
Atg2b	ATG2B
Mstn	MSTN
Neto1	NETO1
Jmjd6	JMJD6
Rspo2	RSPO2
Ddx18	DDX18
Gcnt1	GCNT1
Eif3e	EIF3E
Mettl8	METTL8
Cbln2	CBLN2
Bnip1	BNIP1
Rfk	RFK
Mettl23	METTL23
Pcsk5	PCSK5
Emc2	EMC2
Pnrc2	PNRC2
Arid3b	ARID3B
Ddx60	DDX60
Socs6	SOCS6
Slit3	SLIT3
Cab39	CAB39
Tmem74	TMEM74
Nkx2-5	NKX2-5
Trhr	TRHR
Gskip	GSKIP
Cnr2	CNR2
Ak7	AK7
Fuca1	FUCA1
Dll1	DLL1
Rttn	RTTN
Hdac7	HDAC7
Nudt16l1	NUDT16L1
Flii	FLII
Tesk2	TESK2
Itm2c	ITM2C
Gja5	GJA5
Cog6	COG6
Fut8	FUT8
2510009E07Rik	C3orf70
Ehhadh	EHHADH
Gpr55	GPR55
Tbcel	TBCEL
Map3k13	MAP3K13
Dpp10	DPP10
Anxa10	ANXA10
Fam120b	FAM120B
Mllt3	MLLT3
Ccdc196	CCDC196
Gphn	GPHN
Dcaf17	DCAF17
Tmem114	TMEM114
Mettl22	METTL22
Psmb1	PSMB1
Gm22880	RNU6-349P
Ostf1	OSTF1
Mir218-2	MIR218-2
Rbms2	RBMS2
Pank3	PANK3
Actg2	ACTG2
Cd226	CD226
Hmgcl	HMGCL
Pgk2	PGK2
Ltbp1	LTBP1
Cmip	CMIP
Srsf2	SRSF2
Etv5	ETV5
Cnnm2	CNNM2
Piga	PIGA
Grik4	GRIK4
Mir103-1	MIR103A1
Mief2	MIEF2
Gale	GALE
Garin2	GARIN2
Fbll1	FBLL1
Rars1	RARS1
Nrip2	NRIP2
Gja8	GJA8
Nmrk1	NMRK1
Lhfpl6	LHFPL6
Wdr37	WDR37
Pals1	PALS1
Ubl7	UBL7
Wwc1	WWC1
Abat	ABAT
Ppfia2	PPFIA2
Lef1	LEF1
Toe1	TOE1
Dok6	DOK6
Ube2w	UBE2W
Atp6v1d	ATP6V1D
Wnt2	WNT2
Carnmt1	CARNMT1
Stambp	STAMBP
Tmx3	TMX3
Vps35	VPS35
D030056L22Rik	C9orf40
Eif2s1	EIF2S1
Cybrd1	CYBRD1
Mfsd11	MFSD11
Trpm6	TRPM6
Eif6	EIF6
Plek2	PLEK2
Tmem229b	TMEM229B
Bicd1	BICD1
Lypla2	LYPLA2
Itga8	ITGA8
Papola	PAPOLA
Sema7a	SEMA7A
Rorb	RORB
Rbbp8	RBBP8
Stk17b	STK17B
Adamts7	ADAMTS7
Plcg2	PLCG2
Ccdc89	CCDC89
Crebzf	CREBZF
Pithd1	PITHD1
Tenm2	TENM2
Tmem186	TMEM186
Actr3	ACTR3
Dgkg	DGKG
Nhlrc3	NHLRC3
Tmem126a	TMEM126A
Sh3rf3	SH3RF3
Sdr42e1	SDR42E1
Tmem126b	TMEM126B
Hadh	HADH
Mutyh	MUTYH
Orc6	ORC6
Bckdk	BCKDK
Stmn3	STMN3
Clec4f	CLEC4F
Mgat5b	MGAT5B
Gls2	GLS2
Nt5c2	NT5C2
Il6st	IL6ST
Cd207	CD207
Mindy3	MINDY3
Proser1	PROSER1
Pan3	PAN3
Asz1	ASZ1
Hsd17b2	HSD17B2
Cyp2u1	CYP2U1
Cables1	CABLES1
Mphosph6	MPHOSPH6
Stoml3	STOML3
Pmm2	PMM2
Gm24192	RNU1-54P
Spock3	SPOCK3
Capn6	CAPN6
Top3a	TOP3A
Eloc	ELOC
Hpdl	HPDL
Frem2	FREM2
Eloa	ELOA
Tmem241	TMEM241
Vax2	VAX2
Capn12	CAPN12
Itfg2	ITFG2
Phf1	PHF1
Rbm3	RBM3
Focad	FOCAD
Crygs	CRYGS
Acss3	ACSS3
Carhsp1	CARHSP1
Slc35f5	SLC35F5
Ampd3	AMPD3
Litafd	LITAFD
Tbccd1	TBCCD1
Bloc1s5	BLOC1S5
Papss1	PAPSS1
Vdr	VDR
Cyp11a1	CYP11A1
Tmem70	TMEM70
Cdh13	CDH13
Eef1e1	EEF1E1
Fkbp4	FKBP4
Spryd4	SPRYD4
Mip	MIP
Ina	INA
Gpr39	GPR39
Tbc1d2b	TBC1D2B
Mef2c	MEF2C
Ly96	LY96
Kat8	KAT8
Septin10	SEPTIN10
Pcgf6	PCGF6
Rasgrp3	RASGRP3
Dnajb11	DNAJB11
Atp6v1b1	ATP6V1B1
Smcr8	SMCR8
Lypd1	LYPD1
Gm22717	RNU4-20P
Tmem106c	TMEM106C
Arhgef12	ARHGEF12
Mat2b	MAT2B
Taf5	TAF5
Mylk3	MYLK3
Jph1	JPH1
Dkk2	DKK2
Prss8	PRSS8
Atp5mk	ATP5MK
Sowahc	SOWAHC
Gdap1	GDAP1
Lin7a	LIN7A
Riok3	RIOK3
Ufm1	UFM1
Usp7	USP7
Pdcd11	PDCD11
Plekhh1	PLEKHH1
Dgkq	DGKQ
Ankrd53	ANKRD53
Rnf141	RNF141
Cuta	CUTA
Kcnv1	KCNV1
Tex261	TEX261
Myf5	MYF5
Gimd1	GIMD1
Col2a1	COL2A1
Myf6	MYF6
Hecw2	HECW2
Chn2	CHN2
Sec14l1	SEC14L1
Ptprq	PTPRQ
Aimp1	AIMP1
Pter	PTER
Mir491	MIR491
Zswim5	ZSWIM5
Tlcd5	TLCD5
Lyve1	LYVE1
Trpc4	TRPC4
Rpl11	RPL11
Zic1	ZIC1
C1ql3	C1QL3
Prss36	PRSS36
Calhm2	CALHM2
Tbp	TBP
Rsu1	RSU1
Tll1	TLL1
Pou2f3	POU2F3
Rmc1	RMC1
Calhm1	CALHM1
Calhm3	CALHM3
Otogl	OTOGL
Pigh	PIGH
Anxa1	ANXA1
Id3	ID3
Arg2	ARG2
Tasl	TASL
Asb11	ASB11
E2f2	E2F2
Vti1b	VTI1B
4921524J17Rik	C16orf87
Fanci	FANCI
Urod	UROD
Map1a	MAP1A
Hmmr	HMMR
Cpe	CPE
Oaf	OAF
Clock	CLOCK
Rdh11	RDH11
Zic4	ZIC4
P4ha1	P4HA1
Nr0b1	NR0B1
Gpt2	GPT2
Asb9	ASB9
Crispld1	CRISPLD1
Tbck	TBCK
Nudcd2	NUDCD2
Dync1i2	DYNC1I2
Tbc1d25	TBC1D25
Asap3	ASAP3
Shmt1	SHMT1
Fam98a	FAM98A
Trim29	TRIM29
Rdh12	RDH12
Npc1	NPC1
Msmo1	MSMO1
Ahsg	AHSG
Ccdc150	CCDC150
Vrk1	VRK1
Dnaja2	DNAJA2
Pdcd2	PDCD2
Nectin1	NECTIN1
Klhl2	KLHL2
Tcea3	TCEA3
Il1rapl1	IL1RAPL1
Ankrd29	ANKRD29
Neurl1a	NEURL1
Ccdc33	CCDC33
Crisp2	CRISP2
Gm25805	U6
Hapstr1	HAPSTR1
Npnt	NPNT
Ebp	EBP
Fetub	FETUB
Hectd3	HECTD3
Neto2	NETO2
Prr15	PRR15
Nagk	NAGK
Crisp4	CRISP1
Lama3	LAMA3
Pdcl2	PDCL2
Ccng1	CCNG1
Defb18	DEFB113
Gtf3c3	GTF3C3
Ppp1r12a	PPP1R12A
Dcx	DCX
Flt1	FLT1
Actn4	ACTN4
Prdm9	PRDM7
Paip2b	PAIP2B
Itfg1	ITFG1
Dhrs7b	DHRS7B
Gm34066	C2orf66
Nckap5	NCKAP5
Tmc1	TMC1
Wipf3	WIPF3
Zfp46	ZNF436
Tmem11	TMEM11
Tmem192	TMEM192
Hrg	HRG
Natd1	NATD1
Atf7ip2	ATF7IP2
Sh3pxd2a	SH3PXD2A
Hnrnpr	HNRNPR
Septin9	SEPTIN9
Scrn1	SCRN1
Crim1	CRIM1
Trim75	TRIM22
Trim60	TRIM60
Fkbp14	FKBP14
Csmd3	CSMD3
Trim61	TRIM61
Marchf1	MARCHF1
Pawr	PAWR
Cftr	CFTR
Thy1	THY1
Sertm2	SERTM2
Zfand5	ZFAND5
Smco4	SMCO4
Mmut	MMUT
Ppp1r14c	PPP1R14C
Dipk2a	DIPK2A
Ttc39c	TTC39C
Glra2	GLRA2
Pomp	POMP
Iyd	IYD
Slc9a9	SLC9A9
Stn1	STN1
Zfyve26	ZFYVE26
Syt1	SYT1
Defb41	DEFB110
Irag1	IRAG1
Mtm1	MTM1
Notch2	NOTCH2
Ptchd4	PTCHD4
Tfap2d	TFAP2D
Idua	IDUA
Map2k3	MAP2K3
Opn5	OPN5
Pgap1	PGAP1
Gm24205	RNU6-2
Tma16	TMA16
Slk	SLK
Chst2	CHST2
Chd1	CHD1
Deup1	DEUP1
Dmrta1	DMRTA1
Zfp352	KLF18
Cabyr	CABYR
Elavl2	ELAVL2
Postn	POSTN
Tktl2	TKTL2
Npy5r	NPY5R
Mgat5	MGAT5
Sh2d4a	SH2D4A
Nav3	NAV3
Csgalnact1	CSGALNACT1
Slc36a4	SLC36A4
Plekha8	PLEKHA8
Emp2	EMP2
Eif3k	EIF3K
Tfap2b	TFAP2B
Gm55060	RNU6-706P
Tekt5	TEKT5
Gabrg2	GABRG2
Rad51b	RAD51B
Slc46a3	SLC46A3
Mtnr1b	MTNR1B
Usp2	USP2
Nubp1	NUBP1
Slc26a1	SLC26A1
Fez2	FEZ2
Cemip2	CEMIP2
Elapor2	ELAPOR2
Bcl11b	BCL11B
Tmem163	TMEM163
Mturn	MTURN
Ctr9	CTR9
Znrf2	ZNRF2
Tvp23a	TVP23A
Dcaf5	DCAF5
Osbpl1a	OSBPL1A
Ints10	INTS10
Cttnbp2	CTTNBP2
Exd2	EXD2
Plekhg1	PLEKHG1
Izumo3	IZUMO3
Acmsd	ACMSD
Galnt16	GALNT16
Trp53bp2	TP53BP2
Tusc1	TUSC1
Caap1	CAAP1
Rgmb	RGMB
Col17a1	COL17A1
Plaa	PLAA
Gm25598	RNU6-968P
Adgrf4	ADGRF4
Pkhd1	PKHD1
Lsm8	LSM8
Tnrc6c	TNRC6C
Nod1	NOD1
Gm25007	RNU2-72P
Gm23848	RNU6-199P
Eif3h	EIF3H
Ciita	CIITA
Polg	POLG
Ift74	IFT74
Glt8d1	GLT8D1
Mageb18	MAGEB18
Gemin8	GEMIN8
Slc39a9	SLC39A9
Vit	VIT
Utp23	UTP23
Plekhd1	PLEKHD1
Gstcd	GSTCD
Pola1	POLA1
Rad21	RAD21
Ggct	GGCT
Zfp423	ZNF423
Gm22828	RNU6-463P
Ccdc177	CCDC177
Mir206	MIR206
Mir133b	MIR133B
Il17a	IL17A
Il31ra	IL31RA
Susd6	SUSD6
Gm26373	RNU6-1238P
Kcnd2	KCND2
Ccnt2	CCNT2
E2f7	E2F7
Lrrc19	LRRC19
Riok2	RIOK2
Aard	AARD
Gars1	GARS1
Slc30a8	SLC30A8
Gabra1	GABRA1
Synpr	SYNPR
Gm23298	RNU6-592P
Rnf220	RNF220
Srsf5	SRSF5
Gm23545	RNU6-567P
Med30	MED30
Cnep1r1	CNEP1R1
Lix1	LIX1
Fgfrl1	FGFRL1
Ext1	EXT1
Mtmr1	MTMR1
Fat3	FAT3
Ints12	INTS12
Tspan12	TSPAN12
Cd2ap	CD2AP
Glmp	GLMP
Sntn	SNTN
Samd12	SAMD12
Il17f	IL17F
Sfr1	SFR1
Grm3	GRM3
Gnl3	GNL3
Ankrd44	ANKRD44
Rnf212	RNF212
Tnfrsf11b	TNFRSF11B
Lpl	LPL
Cfap43	CFAP43
Colec10	COLEC10
Mal2	MAL2
Tmem79	TMEM79
Ccn3	CCN3
Gm22236	RNU6-50P
Timeless	TIMELESS
Stra6	STRA6
Ppa2	PPA2
Enpp2	ENPP2
Cubn	CUBN
Gabra6	GABRA6
Rgs12	RGS12
Tnfrsf21	TNFRSF21
Gsto1	GSTO1
Strn	STRN
Snord69	SNORD69
Gm24916	SNORD19B
Snord19	SNORD19
Tmem260	TMEM260
Gsto2	GSTO2
Tmem161b	TMEM161B
Ephb2	EPHB2
Slc18a1	SLC18A1
Trpc5	TRPC5
Mir9-3	MIR9-3
Smg5	SMG5
Map4k1	MAP4K1
Crhr2	CRHR2
Gabrb2	GABRB2
Adgrf1	ADGRF1
Trpc5os	TRPC5OS
Trdmt1	TRDMT1
Rtl4	RTL4
Atp6v1b2	ATP6V1B2
Slc10a1	SLC10A1
Lhfpl1	LHFPL1
Slc35b3	SLC35B3
Syngap1	SYNGAP1
Porcn	PORCN
Gm55475	RN7SKP24
Atp10b	ATP10B
Smoc1	SMOC1
Ncl	NCL
Slc25a12	SLC25A12
Pwwp2a	PWWP2A
Itprip	ITPRIP
Lzts1	LZTS1
Cfap58	CFAP58
Hao2	HAO2
Ttc1	TTC1
Dexi	DEXI
Eif4a2	EIF4A2
Gmip	GMIP
Sorcs3	SORCS3
Paqr6	PAQR6
Adra1b	ADRA1B
Gm55462	SNORD20
Snord82	SNORD82
Capn2	CAPN2
Il12b	IL12B
C1qb	C1QB
Ublcp1	UBLCP1
Tet2	TET2
C1qc	C1QC
Hat1	HAT1
Slc8a3	SLC8A3
C1qa	C1QA
Epha8	EPHA8
Gm25644	RNU6-1316P
Rnf145	RNF145
Inmt	INMT
Ccnh	CCNH
Zbtb40	ZBTB40
Gm54806	RNU6-92P
Xpnpep1	XPNPEP1
Otx2	OTX2
Mindy4	MINDY4
Nmur1	NMUR1
Tex44	TEX44
Vim	VIM
Map3k19	MAP3K19
Ebf1	EBF1
Dlg2	DLG2
Evl	EVL
Tek	TEK
Mcm3	MCM3
Wars2	WARS2
Lpar2	LPAR2
Cd69	CD69
Ddx4	DDX4
Islr	ISLR
Naglu	NAGLU
Chordc1	CHORDC1
Pbx4	PBX4
Taf2	TAF2
St8sia6	ST8SIA6
Hsd17b1	HSD17B1
Aqp1	AQP1
Ghrhr	GHRHR
Gm22699	RNU6-932P
Coasy	COASY
Pmf1	PMF1
Exoc5	EXOC5
Metap1d	METAP1D
